org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,164,Bump proc-macro2 from 1.0.95 to 1.0.101,2025-09-23T22:18:36Z,2025-09-23,https://github.com/ripple/craft/pull/164
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,165,Bump syn from 2.0.101 to 2.0.106,2025-09-23T21:56:58Z,2025-09-23,https://github.com/ripple/craft/pull/165
ripple,docs.xrplevm.org,vriveraPeersyst,https://avatars.githubusercontent.com/u/116574900?v=4,45,Resolve VODF problems: [#VODF-144] [#VODF-149] [#VODF-151],2025-09-23T21:11:41Z,2025-09-23,https://github.com/ripple/docs.xrplevm.org/pull/45
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,212,Fixes #46 (Remove the `safe` variant of the Oracle keylet function),2025-09-23T20:34:51Z,2025-09-23,https://github.com/ripple/craft/pull/212
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,228,fix compareHostFunctions.js,2025-09-23T17:59:42Z,2025-09-23,https://github.com/ripple/craft/pull/228
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,226,Rename wasm-host to wasm-host-simulator (Fixes #209),2025-09-23T16:57:06Z,2025-09-23,https://github.com/ripple/craft/pull/226
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,225,Rename `xrpl-std` to `xrpl-wasm-std` (Fixes #208),2025-09-22T22:31:35Z,2025-09-22,https://github.com/ripple/craft/pull/225
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,220,Bump clap from 4.5.39 to 4.5.48,2025-09-22T21:59:38Z,2025-09-22,https://github.com/ripple/craft/pull/220
ripple,craft,ZhangxiangHu-Ripple,https://avatars.githubusercontent.com/u/126624605?v=4,224,disable bulk-memory for wasm32-unknown-unknown,2025-09-22T21:43:31Z,2025-09-22,https://github.com/ripple/craft/pull/224
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,223,Bump anyhow from 1.0.99 to 1.0.100,2025-09-22T19:46:03Z,2025-09-22,https://github.com/ripple/craft/pull/223
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,222,Bump serde from 1.0.219 to 1.0.226,2025-09-22T19:41:52Z,2025-09-22,https://github.com/ripple/craft/pull/222
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,221,Bump inquire from 0.7.5 to 0.9.1,2025-09-22T19:36:49Z,2025-09-22,https://github.com/ripple/craft/pull/221
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,218,refactor: combine e2e-tests and ITs into single folder (#198),2025-09-22T18:28:41Z,2025-09-22,https://github.com/ripple/craft/pull/218
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,191,Align CI with local dev build using scripts,2025-09-22T18:08:51Z,2025-09-22,https://github.com/ripple/craft/pull/191
ripple,validator-history-service,Patel-Raj11,https://avatars.githubusercontent.com/u/197821619?v=4,380,Migrate ESLint to v9 and it's related plugins to their latest major version,2025-09-17T21:29:01Z,2025-09-17,https://github.com/ripple/validator-history-service/pull/380
ripple,opensource.ripple.com,amarantha-k,https://avatars.githubusercontent.com/u/13425257?v=4,185,Add updated RX Q3 roadmap graphic,2025-09-17T20:51:41Z,2025-09-17,https://github.com/ripple/opensource.ripple.com/pull/185
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,217,Add WASM Devnet details for version 6,2025-09-17T16:13:12Z,2025-09-17,https://github.com/ripple/craft/pull/217
ripple,explorer,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1235,chore(deps): bump esbuild from 0.25.3 to 0.25.9,2025-09-16T19:55:05Z,2025-09-16,https://github.com/ripple/explorer/pull/1235
ripple,explorer,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,1236,chore(deps-dev): bump ts-jest from 29.3.2 to 29.4.1,2025-09-16T19:41:00Z,2025-09-16,https://github.com/ripple/explorer/pull/1236
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,197,Bump regex from 1.11.1 to 1.11.2,2025-09-16T18:06:03Z,2025-09-16,https://github.com/ripple/craft/pull/197
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,196,Bump cc from 1.2.25 to 1.2.37,2025-09-16T17:58:52Z,2025-09-16,https://github.com/ripple/craft/pull/196
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,195,Bump log from 0.4.27 to 0.4.28,2025-09-16T17:51:33Z,2025-09-16,https://github.com/ripple/craft/pull/195
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,194,Bump bindgen from 0.72.0 to 0.72.1,2025-09-16T17:43:43Z,2025-09-16,https://github.com/ripple/craft/pull/194
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,189,Merge `lastdevnet` into `main`,2025-09-16T17:21:44Z,2025-09-16,https://github.com/ripple/craft/pull/189
ripple,rippled-workload,a1q123456,https://avatars.githubusercontent.com/u/1059544?v=4,13,Update Dockerfile.rippled,2025-09-16T13:04:22Z,2025-09-16,https://github.com/ripple/rippled-workload/pull/13
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,205,chore: bump JS packages to new betas,2025-09-15T23:27:03Z,2025-09-15,https://github.com/ripple/craft/pull/205
ripple,docs.xrplevm.org,vriveraPeersyst,https://avatars.githubusercontent.com/u/116574900?v=4,44,docs: add Imperator public services + Grove provider section for XRPL EVM,2025-09-15T21:56:15Z,2025-09-15,https://github.com/ripple/docs.xrplevm.org/pull/44
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,192,"fix: project discovery, README, local update check",2025-09-15T15:26:02Z,2025-09-15,https://github.com/ripple/craft/pull/192
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,190,add remaining host functions to wamr-host,2025-09-11T18:08:41Z,2025-09-11,https://github.com/ripple/craft/pull/190
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,179,Bump anyhow from 1.0.98 to 1.0.99,2025-09-09T00:17:21Z,2025-09-09,https://github.com/ripple/craft/pull/179
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,166,Bump tokio from 1.45.1 to 1.47.1,2025-09-08T22:14:24Z,2025-09-08,https://github.com/ripple/craft/pull/166
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,163,Bump reqwest from 0.11.27 to 0.12.23,2025-09-08T20:17:36Z,2025-09-08,https://github.com/ripple/craft/pull/163
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,172,Add links to XLS-100d in README,2025-09-05T14:41:49Z,2025-09-05,https://github.com/ripple/craft/pull/172
ripple,validator-keys-tool,jscottbranson,https://avatars.githubusercontent.com/u/18340247?v=4,58,Update xrpl package version & remove outdated link,2025-09-05T07:28:54Z,2025-09-05,https://github.com/ripple/validator-keys-tool/pull/58
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,175,just use xrpl-address-macro,2025-09-05T06:16:14Z,2025-09-05,https://github.com/ripple/craft/pull/175
ripple,craft,intelliot,https://avatars.githubusercontent.com/u/81505?v=4,176,fix: replace atty with std::io::IsTerminal to resolve security vulnerability,2025-09-04T22:57:26Z,2025-09-04,https://github.com/ripple/craft/pull/176
ripple,validator-history-service,Patel-Raj11,https://avatars.githubusercontent.com/u/197821619?v=4,378,update package version,2025-09-04T19:36:01Z,2025-09-04,https://github.com/ripple/validator-history-service/pull/378
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,174,ci: run snippets in Markdown to make sure they work,2025-09-04T16:51:18Z,2025-09-04,https://github.com/ripple/craft/pull/174
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,171,fix CI,2025-09-04T13:42:42Z,2025-09-04,https://github.com/ripple/craft/pull/171
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,162,Bump which from 7.0.3 to 8.0.0,2025-09-04T05:08:06Z,2025-09-04,https://github.com/ripple/craft/pull/162
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,161,Bump colored from 2.2.0 to 3.0.0,2025-09-04T04:59:29Z,2025-09-04,https://github.com/ripple/craft/pull/161
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,160,Bump xrpl-rust from 0.5.0 to 1.0.0,2025-09-03T22:37:35Z,2025-09-03,https://github.com/ripple/craft/pull/160
ripple,craft,dependabot[bot],https://avatars.githubusercontent.com/in/29110?v=4,170,Bump base-x and ripple-address-codec in /reference/js/wasm-fingerprint,2025-09-03T18:04:16Z,2025-09-03,https://github.com/ripple/craft/pull/170
ripple,validator-history-service,Patel-Raj11,https://avatars.githubusercontent.com/u/197821619?v=4,377,Update xrpl package to v4.4.1,2025-09-03T14:18:12Z,2025-09-03,https://github.com/ripple/validator-history-service/pull/377
ripple,opensource.ripple.com,maria-robobug,https://avatars.githubusercontent.com/u/13270204?v=4,183,Update SAV XLS Spec URL,2025-09-02T18:18:54Z,2025-09-02,https://github.com/ripple/opensource.ripple.com/pull/183
ripple,explorer,kuan121,https://avatars.githubusercontent.com/u/13514933?v=4,1233,Explorer server: Add logs when receiving ledgerClosed messages and log rippled client state every 60 seconds,2025-08-30T00:01:46Z,2025-08-30,https://github.com/ripple/explorer/pull/1233
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,169,refactor: use cargo workspaces to organize the projects,2025-08-29T19:22:46Z,2025-08-29,https://github.com/ripple/craft/pull/169
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,153,Cleanup test example folders,2025-08-29T12:50:13Z,2025-08-29,https://github.com/ripple/craft/pull/153
ripple,docs.xrplevm.org,vriveraPeersyst,https://avatars.githubusercontent.com/u/116574900?v=4,43,docs: add Mainnet public services with provider tables & tabs,2025-08-28T21:19:36Z,2025-08-28,https://github.com/ripple/docs.xrplevm.org/pull/43
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,168,test: run e2e tests in CI,2025-08-27T22:05:36Z,2025-08-27,https://github.com/ripple/craft/pull/168
ripple,craft,mvadari,https://avatars.githubusercontent.com/u/8029314?v=4,158,change: adjust the function signatures for `get_ledger_sqn` and `get_parent_ledger_time`,2025-08-27T18:14:49Z,2025-08-27,https://github.com/ripple/craft/pull/158
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,157,Add rust-toolchain.toml,2025-08-26T22:31:30Z,2025-08-26,https://github.com/ripple/craft/pull/157
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,156,Fix clippy warnings,2025-08-26T22:01:54Z,2025-08-26,https://github.com/ripple/craft/pull/156
ripple,craft,sappenin,https://avatars.githubusercontent.com/u/323659?v=4,155,Create dependabot.yml,2025-08-26T21:57:11Z,2025-08-26,https://github.com/ripple/craft/pull/155
