org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
dogecoin,dogecoin,langerhans,https://avatars.githubusercontent.com/u/5160000?v=4,1243,Replace Bitcoin with Dogecoin in tooltip,2015-08-13T23:07:15Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1243,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1244,Add dogechain and chain.so as default block explorers,2015-08-13T21:10:33Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1244,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1241,qt: Introduce PlatformStyle,2015-08-13T17:11:15Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1241,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1239,Introduce upstream UI changes,2015-08-13T17:05:25Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1239,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1240,Amount to send field now goes up/down 1 Koinu at a time,2015-08-13T16:54:50Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1240,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1229,Update fork detection parameters for Dogecoin block time,2015-08-13T16:43:55Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1229,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1238,Add block height to block notification,2015-08-13T16:41:49Z,2015-08-13,https://github.com/dogecoin/dogecoin/pull/1238,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1233,"[travis] hosted, acl'ed osx sdk",2015-08-11T06:12:10Z,2015-08-11,https://github.com/dogecoin/dogecoin/pull/1233,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1235,Disable payment protocol certificate unit tests,2015-08-11T06:11:34Z,2015-08-11,https://github.com/dogecoin/dogecoin/pull/1235,,,
dogecoin,dogecoin,patricklodder,https://avatars.githubusercontent.com/u/1410115?v=4,1232,[travis] disable windows tests,2015-08-11T06:07:36Z,2015-08-11,https://github.com/dogecoin/dogecoin/pull/1232,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1236,Replace Bitcoin with Dogecoin in Gitian descriptors,2015-08-10T21:20:35Z,2015-08-10,https://github.com/dogecoin/dogecoin/pull/1236,,,
dogecoin,dogecoin,Sporklin,https://avatars.githubusercontent.com/u/7656263?v=4,1237,Fixed Windows and Mac setup scripts.,2015-08-10T21:20:06Z,2015-08-10,https://github.com/dogecoin/dogecoin/pull/1237,,,
dogecoin,dogecoin,rnicoll,https://avatars.githubusercontent.com/u/3513077?v=4,1219,Hack Gitian descriptors and keys into vaguely the right shape,2015-08-10T20:29:25Z,2015-08-10,https://github.com/dogecoin/dogecoin/pull/1219,,,
