org,proyecto,usuario,avatar_url,pr_number,pr_title,merged_at,merged_date,url,additions,deletions,changed_lines
stellar,laboratory,quietbits,https://avatars.githubusercontent.com/u/7346473?v=4,2126,Transaction Dashboard: Call Stack Trace tab tests,2026-06-29T13:03:25Z,2026-06-29,https://github.com/stellar/laboratory/pull/2126,922,264,1186
stellar,rs-stellar-archivist,jayz22,https://avatars.githubusercontent.com/u/13401372?v=4,24,"Release prep - updated docs, add workflows, cleanup etc.",2026-06-27T20:16:53Z,2026-06-27,https://github.com/stellar/rs-stellar-archivist/pull/24,447,202,649
stellar,stellar-rpc,chowbao,https://avatars.githubusercontent.com/u/20801401?v=4,818,Streaming daemon: Phase 1 layer 2 — primitives (#815),2026-06-27T17:47:32Z,2026-06-27,https://github.com/stellar/stellar-rpc/pull/818,2230,694,2924
stellar,stellar-rpc,chowbao,https://avatars.githubusercontent.com/u/20801401?v=4,817,Streaming daemon: Phase 1 layer 1 — foundations (#815),2026-06-27T17:02:33Z,2026-06-27,https://github.com/stellar/stellar-rpc/pull/817,2781,0,2781
stellar,stellar-core,dmkozh,https://avatars.githubusercontent.com/u/77305791?v=4,5284,Parallelize in-memory state update with bucket list operations.,2026-06-26T21:39:51Z,2026-06-26,https://github.com/stellar/stellar-core/pull/5284,50,12,62
stellar,rs-stellar-archivist,jayz22,https://avatars.githubusercontent.com/u/13401372?v=4,23,Scale verify mode: run XDR decode+parse in spawned tasks,2026-06-26T18:54:00Z,2026-06-26,https://github.com/stellar/rs-stellar-archivist/pull/23,866,165,1031
stellar,stellar-rpc,cjonas9,https://avatars.githubusercontent.com/u/86204361?v=4,741,Add RPC ingestion load test driven by synthetic apply-load ledger bundles,2026-06-26T17:37:57Z,2026-06-26,https://github.com/stellar/stellar-rpc/pull/741,2123,56,2179
stellar,freighter,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,2866,ci: fix create-release commitish input (was target_commitish),2026-06-26T14:52:19Z,2026-06-26,https://github.com/stellar/freighter/pull/2866,2,2,4
stellar,js-stellar-sdk,quietbits,https://avatars.githubusercontent.com/u/7346473?v=4,1497,Dependency updates,2026-06-26T14:40:34Z,2026-06-26,https://github.com/stellar/js-stellar-sdk/pull/1497,737,975,1712
stellar,anchor-platform,amandagonsalves,https://avatars.githubusercontent.com/u/64379712?v=4,1960,[ANCHOR-1212]: SEP-6 deposit persists unapproved account as to_account without enforcing destinationAccounts,2026-06-26T14:20:56Z,2026-06-26,https://github.com/stellar/anchor-platform/pull/1960,689,53,742
stellar,wallet-backend,JiahuiWho,https://avatars.githubusercontent.com/u/16715182?v=4,636,feat(indexer): Capture previous `home_domain` on metadata state changes,2026-06-26T13:52:39Z,2026-06-26,https://github.com/stellar/wallet-backend/pull/636,20,5,25
stellar,helm-charts,jacekn,https://avatars.githubusercontent.com/u/8809467?v=4,173,Refresh settings in the horizon chart,2026-06-26T13:32:40Z,2026-06-26,https://github.com/stellar/helm-charts/pull/173,2,24,26
stellar,stellar-rpc,Shaptic,https://avatars.githubusercontent.com/u/822243?v=4,825,Prepare v27.1.0 for release,2026-06-26T02:17:20Z,2026-06-26,https://github.com/stellar/stellar-rpc/pull/825,8,1,9
stellar,freighter,CassioMG,https://avatars.githubusercontent.com/u/3228151?v=4,2873,"Fix wrong asset on ""Sent!"" screen after switching token mid-send",2026-06-26T01:27:58Z,2026-06-26,https://github.com/stellar/freighter/pull/2873,76,4,80
stellar,stellar-rpc,felixl256,https://avatars.githubusercontent.com/u/205758266?v=4,797,getHealth: return LedgerCloseTime in response,2026-06-25T23:10:33Z,2026-06-25,https://github.com/stellar/stellar-rpc/pull/797,14,3,17
stellar,go-stellar-sdk,cjonas9,https://avatars.githubusercontent.com/u/86204361?v=4,5959,ingest/loadtest: expand loadtest functionality to handle multiple ledger bundles,2026-06-25T22:59:30Z,2026-06-25,https://github.com/stellar/go-stellar-sdk/pull/5959,224,39,263
stellar,rs-stellar-xdr,leighmcculloch,https://avatars.githubusercontent.com/u/351529?v=4,545,Update crate-git-revision to 0.0.9,2026-06-25T22:52:10Z,2026-06-25,https://github.com/stellar/rs-stellar-xdr/pull/545,14,3,17
stellar,stellar-horizon,dmkozh,https://avatars.githubusercontent.com/u/77305791?v=4,198,Bump core to v27.1.0 for CI.,2026-06-25T22:50:39Z,2026-06-25,https://github.com/stellar/stellar-horizon/pull/198,5,5,10
stellar,freighter-backend-v2,piyalbasu,https://avatars.githubusercontent.com/u/6789586?v=4,112,feat(auth): stateless Ed25519 JWT auth middleware (#88),2026-06-25T20:17:37Z,2026-06-25,https://github.com/stellar/freighter-backend-v2/pull/112,1491,47,1538
stellar,stellar-rpc,jia57b,https://avatars.githubusercontent.com/u/131218403?v=4,742,fix(simulate): Use core ledger close time,2026-06-25T16:36:40Z,2026-06-25,https://github.com/stellar/stellar-rpc/pull/742,384,17,401
stellar,stellar-docs,ElliotFriend,https://avatars.githubusercontent.com/u/2024293?v=4,2534,disable cli plugins auto-generation at build-time,2026-06-25T15:41:09Z,2026-06-25,https://github.com/stellar/stellar-docs/pull/2534,37,3,40
stellar,stellar-docs,kalepail,https://avatars.githubusercontent.com/u/4383610?v=4,2532,fix: sanitize CLI plugin descriptions to prevent HTML/script injection,2026-06-25T15:22:26Z,2026-06-25,https://github.com/stellar/stellar-docs/pull/2532,16,4,20
stellar,freighter-mobile,CassioMG,https://avatars.githubusercontent.com/u/3228151?v=4,914,fix(biometrics): round blurred Face ID icon corners on iOS,2026-06-25T14:02:17Z,2026-06-25,https://github.com/stellar/freighter-mobile/pull/914,5,2,7
stellar,freighter-mobile,CassioMG,https://avatars.githubusercontent.com/u/3228151?v=4,877,fix(e2e): provision per-run testnet accounts to eliminate tx_bad_seq flakiness,2026-06-25T14:01:07Z,2026-06-25,https://github.com/stellar/freighter-mobile/pull/877,629,262,891
